distrito,ano,dim_3_t,valor
Aveiro,2022,Suécia,2459.0
Aveiro,2022,Suíça,11085.0
Aveiro,2022,Sérvia,216.0
Aveiro,2022,Total,1360012.0
Aveiro,2022,Turquia,1924.0
Aveiro,2022,Ucrânia,2747.0
Aveiro,2022,Áustria,3583.0
Aveiro,2022,Índia,1328.0
Aveiro,2023,Alemanha,43983.0
Aveiro,2023,Angola,2917.0
Aveiro,2023,Argentina,3351.0
Aveiro,2023,Austrália,4090.0
Aveiro,2023,Brasil,50066.0
Aveiro,2023,Bulgária,6249.0
Aveiro,2023,Bélgica,10122.0
Aveiro,2023,Canadá,10427.0
Aveiro,2023,China,7288.0
Aveiro,2023,Chipre,181.0
Aveiro,2023,Chéquia,3256.0
Aveiro,2023,Coreia (República da),5002.0
Aveiro,2023,Croácia,1869.0
Aveiro,2023,Dinamarca,4637.0
Aveiro,2023,Eslováquia,1365.0
Aveiro,2023,Eslovénia,974.0
Aveiro,2023,Espanha,214452.0
Aveiro,2023,Estados Unidos da América,29574.0
Aveiro,2023,Estrangeiro,673977.0
Aveiro,2023,Estónia,720.0
Aveiro,2023,Federação da Rússia,2749.0
Aveiro,2023,Finlândia,2893.0
Aveiro,2023,França,72051.0
Aveiro,2023,Grécia,11550.0
Aveiro,2023,Hungria,2113.0
Aveiro,2023,Irlanda,5131.0
Aveiro,2023,Israel,10634.0
Aveiro,2023,Itália,25468.0
Aveiro,2023,Japão,2391.0
Aveiro,2023,Letónia,1067.0
Aveiro,2023,Lituânia,1612.0
Aveiro,2023,Luxemburgo,2599.0
Aveiro,2023,Malta,453.0
Aveiro,2023,Marrocos,1544.0
Aveiro,2023,México,2623.0
Aveiro,2023,Noruega,1916.0
Aveiro,2023,Outros,43121.0
Aveiro,2023,Países Baixos (Reino dos),16006.0
Aveiro,2023,Polónia,9526.0
Aveiro,2023,Portugal,794291.0
Aveiro,2023,Reino Unido da Grã-Bretanha e Irlanda do Norte,22713.0
Aveiro,2023,Roménia,5397.0
Aveiro,2023,Suécia,2737.0
Aveiro,2023,Suíça,15213.0
Aveiro,2023,Sérvia,320.0
Aveiro,2023,Total,1468268.0
Aveiro,2023,Turquia,2785.0
Aveiro,2023,Ucrânia,2036.0
Aveiro,2023,Áustria,4391.0
Aveiro,2023,Índia,2415.0
Aveiro,2024,Alemanha,45285.0
Aveiro,2024,Angola,3378.0
Aveiro,2024,Argentina,2714.0
Aveiro,2024,Austrália,3319.0
Aveiro,2024,Brasil,52566.0
Aveiro,2024,Bulgária,1449.0
Aveiro,2024,Bélgica,11049.0
Aveiro,2024,Canadá,10424.0
Aveiro,2024,China,17508.0
Aveiro,2024,Chipre,182.0
Aveiro,2024,Chéquia,3360.0
Aveiro,2024,Coreia (República da),6023.0
Aveiro,2024,Croácia,796.0
Aveiro,2024,Dinamarca,5585.0
Aveiro,2024,Eslováquia,1186.0
Aveiro,2024,Eslovénia,708.0
Aveiro,2024,Espanha,222842.0
Aveiro,2024,Estados Unidos da América,32454.0
Aveiro,2024,Estrangeiro,674625.0
Aveiro,2024,Estónia,639.0
Aveiro,2024,Federação da Rússia,2406.0
Aveiro,2024,Finlândia,2163.0
Aveiro,2024,França,69384.0
Aveiro,2024,Grécia,8407.0
Aveiro,2024,Hungria,1485.0
Aveiro,2024,Irlanda,6061.0
Aveiro,2024,Israel,5058.0
Aveiro,2024,Itália,24108.0
Aveiro,2024,Japão,4513.0
Aveiro,2024,Letónia,970.0
Aveiro,2024,Lituânia,1431.0
Aveiro,2024,Luxemburgo,2491.0
Aveiro,2024,Malta,382.0
Aveiro,2024,Marrocos,1308.0
Aveiro,2024,México,2703.0
Aveiro,2024,Noruega,2114.0
Aveiro,2024,Outros,34652.0
Aveiro,2024,Países Baixos (Reino dos),17041.0
Aveiro,2024,Polónia,8788.0
Aveiro,2024,Portugal,827276.0
Aveiro,2024,Reino Unido da Grã-Bretanha e Irlanda do Norte,22767.0
Aveiro,2024,Roménia,3580.0
Aveiro,2024,Suécia,3176.0
Aveiro,2024,Suíça,13991.0
Aveiro,2024,Sérvia,824.0
Aveiro,2024,Total,1501901.0
Aveiro,2024,Turquia,2408.0
Aveiro,2024,Ucrânia,2682.0
Aveiro,2024,Áustria,5236.0
Aveiro,2024,Índia,3029.0
Aveiro,2025,Alemanha,49590.0
Aveiro,2025,Angola,3653.0
Aveiro,2025,Argentina,2332.0
Aveiro,2025,Austrália,3090.0
Aveiro,2025,Brasil,45224.0
Aveiro,2025,Bulgária,949.0
Aveiro,2025,Bélgica,10956.0
Aveiro,2025,Canadá,10736.0
Aveiro,2025,China,19588.0
Aveiro,2025,Chipre,236.0
Aveiro,2025,Chéquia,3843.0
Aveiro,2025,Coreia (República da),5617.0
Aveiro,2025,Croácia,1325.0
Aveiro,2025,Dinamarca,4940.0
Aveiro,2025,Eslováquia,1068.0
Aveiro,2025,Eslovénia,1110.0
Aveiro,2025,Espanha,214963.0
Aveiro,2025,Estados Unidos da América,31679.0
Aveiro,2025,Estrangeiro,655311.0
Aveiro,2025,Estónia,626.0
Aveiro,2025,Federação da Rússia,1908.0
Aveiro,2025,Finlândia,2406.0
Aveiro,2025,França,66370.0
Aveiro,2025,Grécia,1163.0
Aveiro,2025,Hungria,1918.0
Aveiro,2025,Irlanda,5304.0
Aveiro,2025,Israel,6205.0
Aveiro,2025,Itália,24793.0
Aveiro,2025,Japão,2764.0
Aveiro,2025,Letónia,1003.0
Aveiro,2025,Lituânia,1308.0
Aveiro,2025,Luxemburgo,3135.0
Aveiro,2025,Malta,398.0
Aveiro,2025,Marrocos,1181.0
Aveiro,2025,México,2059.0
Aveiro,2025,Noruega,2008.0
Aveiro,2025,Outros,28687.0
Aveiro,2025,Países Baixos (Reino dos),16400.0
Aveiro,2025,Polónia,10466.0
Aveiro,2025,Portugal,845299.0
Aveiro,2025,Reino Unido da Grã-Bretanha e Irlanda do Norte,26617.0
Aveiro,2025,Roménia,4673.0
Aveiro,2025,Suécia,3147.0
Aveiro,2025,Suíça,15129.0
Aveiro,2025,Sérvia,520.0
Aveiro,2025,Total,1500610.0
Aveiro,2025,Turquia,3052.0
Aveiro,2025,Ucrânia,3452.0
Aveiro,2025,Áustria,5455.0
Aveiro,2025,Índia,2265.0
Beja,2020,Alemanha,16915.0
Beja,2020,Angola,39.0
Beja,2020,Argentina,150.0
Beja,2020,Austrália,153.0
Beja,2020,Brasil,1584.0
Beja,2020,Bulgária,83.0
Beja,2020,Bélgica,2443.0
Beja,2020,Canadá,929.0
Beja,2020,China,56.0
Beja,2020,Chipre,36.0
Beja,2020,Chéquia,236.0
Beja,2020,Coreia (República da),3.0
Beja,2020,Croácia,31.0
Beja,2020,Dinamarca,286.0
Beja,2020,Eslováquia,58.0
Beja,2020,Eslovénia,27.0
Beja,2020,Espanha,26354.0
Beja,2020,Estados Unidos da América,1231.0
Beja,2020,Estrangeiro,86337.0
Beja,2020,Estónia,13.0
Beja,2020,Federação da Rússia,198.0
Beja,2020,Finlândia,440.0
Beja,2020,França,5686.0
Beja,2020,Grécia,106.0
Beja,2020,Hungria,184.0
Beja,2020,Irlanda,407.0
Beja,2020,Israel,113.0
Beja,2020,Itália,2461.0
Beja,2020,Japão,20.0
Beja,2020,Letónia,32.0
Beja,2020,Lituânia,58.0
Beja,2020,Luxemburgo,398.0
Beja,2020,Malta,53.0
Beja,2020,Marrocos,11.0
Beja,2020,México,32.0
Beja,2020,Noruega,104.0
Beja,2020,Outros,2435.0
Beja,2020,Países Baixos (Reino dos),6080.0
Beja,2020,Polónia,3243.0
Beja,2020,Portugal,381633.0
Beja,2020,Reino Unido da Grã-Bretanha e Irlanda do Norte,4745.0
Beja,2020,Roménia,5053.0
Beja,2020,Suécia,946.0
Beja,2020,Suíça,2073.0
Beja,2020,Sérvia,
Beja,2020,Total,467970.0
Beja,2020,Turquia,21.0
Beja,2020,Ucrânia,436.0
Beja,2020,Áustria,286.0
Beja,2020,Índia,89.0
Beja,2021,Alemanha,21882.0
Beja,2021,Angola,72.0
Beja,2021,Argentina,147.0
Beja,2021,Austrália,218.0
Beja,2021,Brasil,2153.0
Beja,2021,Bulgária,183.0
Beja,2021,Bélgica,4731.0
Beja,2021,Canadá,839.0
Beja,2021,China,80.0
Beja,2021,Chipre,29.0
Beja,2021,Chéquia,392.0
Beja,2021,Coreia (República da),6.0
Beja,2021,Croácia,38.0
Beja,2021,Dinamarca,1151.0
Beja,2021,Eslováquia,56.0
Beja,2021,Eslovénia,429.0
Beja,2021,Espanha,37261.0
Beja,2021,Estados Unidos da América,3117.0
Beja,2021,Estrangeiro,126872.0
Beja,2021,Estónia,71.0
Beja,2021,Federação da Rússia,181.0
Beja,2021,Finlândia,445.0
Beja,2021,França,9745.0
Beja,2021,Grécia,642.0
Beja,2021,Hungria,147.0
Beja,2021,Irlanda,1736.0
Beja,2021,Israel,482.0
Beja,2021,Itália,5024.0
Beja,2021,Japão,14.0
Beja,2021,Letónia,133.0
Beja,2021,Lituânia,130.0
Beja,2021,Luxemburgo,571.0
Beja,2021,Malta,21.0
Beja,2021,Marrocos,12.0
Beja,2021,México,70.0
Beja,2021,Noruega,291.0
Beja,2021,Outros,945.0
Beja,2021,Países Baixos (Reino dos),11709.0
Beja,2021,Polónia,5780.0
Beja,2021,Portugal,448575.0
Beja,2021,Reino Unido da Grã-Bretanha e Irlanda do Norte,6836.0
Beja,2021,Roménia,391.0
Beja,2021,Suécia,1032.0
Beja,2021,Suíça,4704.0
Beja,2021,Sérvia,23.0
Beja,2021,Total,575447.0
Beja,2021,Turquia,38.0
Beja,2021,Ucrânia,708.0
Beja,2021,Áustria,2078.0
Beja,2021,Índia,129.0
Beja,2022,Alemanha,46255.0
Beja,2022,Angola,123.0
Beja,2022,Argentina,338.0
Beja,2022,Austrália,781.0
Beja,2022,Brasil,5224.0
Beja,2022,Bulgária,1352.0
Beja,2022,Bélgica,7002.0
Beja,2022,Canadá,4992.0
Beja,2022,China,120.0
Beja,2022,Chipre,76.0
Beja,2022,Chéquia,1231.0
Beja,2022,Coreia (República da),73.0
Beja,2022,Croácia,125.0
Beja,2022,Dinamarca,1916.0
Beja,2022,Eslováquia,152.0
Beja,2022,Eslovénia,204.0
Beja,2022,Espanha,46465.0
Beja,2022,Estados Unidos da América,11903.0
Beja,2022,Estrangeiro,224962.0
Beja,2022,Estónia,225.0
Beja,2022,Federação da Rússia,322.0
Beja,2022,Finlândia,992.0
Beja,2022,França,17301.0
Beja,2022,Grécia,335.0
Beja,2022,Hungria,397.0
Beja,2022,Irlanda,3070.0
Beja,2022,Israel,1315.0
Beja,2022,Itália,10883.0
Beja,2022,Japão,95.0
Beja,2022,Letónia,261.0
Beja,2022,Lituânia,432.0
Beja,2022,Luxemburgo,836.0
Beja,2022,Malta,25.0
Beja,2022,Marrocos,212.0
Beja,2022,México,229.0
Beja,2022,Noruega,1196.0
Beja,2022,Outros,4080.0
Beja,2022,Países Baixos (Reino dos),16556.0
Beja,2022,Polónia,7603.0
Beja,2022,Portugal,484701.0
Beja,2022,Reino Unido da Grã-Bretanha e Irlanda do Norte,14783.0
Beja,2022,Roménia,728.0
Beja,2022,Suécia,1972.0
Beja,2022,Suíça,8175.0
Beja,2022,Sérvia,38.0
Beja,2022,Total,709663.0
Beja,2022,Turquia,121.0
Beja,2022,Ucrânia,748.0
Beja,2022,Áustria,3433.0
Beja,2022,Índia,267.0
Beja,2023,Alemanha,52906.0
Beja,2023,Angola,257.0
Beja,2023,Argentina,310.0
Beja,2023,Austrália,1765.0
Beja,2023,Brasil,12575.0
Beja,2023,Bulgária,301.0
Beja,2023,Bélgica,12456.0
Beja,2023,Canadá,6052.0
Beja,2023,China,538.0
Beja,2023,Chipre,90.0
Beja,2023,Chéquia,1565.0
Beja,2023,Coreia (República da),506.0
Beja,2023,Croácia,86.0
Beja,2023,Dinamarca,2609.0
Beja,2023,Eslováquia,141.0
Beja,2023,Eslovénia,236.0
Beja,2023,Espanha,50472.0
Beja,2023,Estados Unidos da América,14452.0
Beja,2023,Estrangeiro,262902.0
Beja,2023,Estónia,238.0
Beja,2023,Federação da Rússia,451.0
Beja,2023,Finlândia,944.0
Beja,2023,França,17288.0
Beja,2023,Grécia,488.0
Beja,2023,Hungria,700.0
Beja,2023,Irlanda,3162.0
Beja,2023,Israel,1193.0
Beja,2023,Itália,14249.0
