varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,ind_string,sinal_conv,sinal_conv_desc,concelho,distrito,nivel_geo
0013212,2025,2025,,11B1709,Ribeira de Pena,1,,LV,Letónia,1,,,Ribeira de Pena,Vila Real,Município
0013212,2025,2025,,11B1709,Ribeira de Pena,1,,NO,Noruega,1,,,Ribeira de Pena,Vila Real,Município
0013212,2025,2025,,11B1712,Valpaços,1,,AR,Argentina,1,,,Valpaços,Vila Real,Município
0013212,2025,2025,,11B1712,Valpaços,1,,DK,Dinamarca,1,,,Valpaços,Vila Real,Município
0013212,2025,2025,,11B1712,Valpaços,1,,RO,Roménia,1,,,Valpaços,Vila Real,Município
0013212,2025,2025,,11B1712,Valpaços,1,,SE,Suécia,1,,,Valpaços,Vila Real,Município
0013212,2025,2025,,11B1713,Vila Pouca de Aguiar,1,,AR,Argentina,1,,,Vila Pouca de Aguiar,Vila Real,Município
0013212,2025,2025,,11B1713,Vila Pouca de Aguiar,1,,HR,Croácia,1,,,Vila Pouca de Aguiar,Vila Real,Município
0013212,2025,2025,,11B1713,Vila Pouca de Aguiar,1,,MT,Malta,1,,,Vila Pouca de Aguiar,Vila Real,Município
0013212,2025,2025,,11B1713,Vila Pouca de Aguiar,1,,MX,México,1,,,Vila Pouca de Aguiar,Vila Real,Município
0013212,2025,2025,,11B1713,Vila Pouca de Aguiar,1,,NO,Noruega,1,,,Vila Pouca de Aguiar,Vila Real,Município
0013212,2025,2025,,11C0106,Castelo de Paiva,1,,CY,Chipre,1,,,Castelo de Paiva,Aveiro,Município
0013212,2025,2025,,11C0106,Castelo de Paiva,1,,MA,Marrocos,1,,,Castelo de Paiva,Aveiro,Município
0013212,2025,2025,,11C0106,Castelo de Paiva,1,,RS,Sérvia,1,,,Castelo de Paiva,Aveiro,Município
0013212,2025,2025,,11C0305,Celorico de Basto,1,,AU,Austrália,1,,,Celorico de Basto,Braga,Município
0013212,2025,2025,,11C1303,Felgueiras,1,,BG,Bulgária,1,,,Felgueiras,Porto,Município
0013212,2025,2025,,11C1303,Felgueiras,1,,GR,Grécia,1,,,Felgueiras,Porto,Município
0013212,2025,2025,,11C1303,Felgueiras,1,,HR,Croácia,1,,,Felgueiras,Porto,Município
0013212,2025,2025,,11C1303,Felgueiras,1,,JP,Japão,1,,,Felgueiras,Porto,Município
0013212,2025,2025,,11C1305,Lousada,1,,EE,Estónia,1,,,Lousada,Porto,Município
0013212,2025,2025,,11C1307,Marco de Canaveses,1,,JP,Japão,1,,,Marco de Canaveses,Porto,Município
0013212,2025,2025,,11C1309,Paços de Ferreira,1,,FI,Finlândia,1,,,Paços de Ferreira,Porto,Município
0013212,2025,2025,,11C1309,Paços de Ferreira,1,,SK,Eslováquia,1,,,Paços de Ferreira,Porto,Município
0013212,2025,2025,,11C1311,Penafiel,1,,JP,Japão,1,,,Penafiel,Porto,Município
0013212,2025,2025,,11C1804,Cinfães,1,,BG,Bulgária,1,,,Cinfães,Viseu,Município
0013212,2025,2025,,11C1804,Cinfães,1,,MX,México,1,,,Cinfães,Viseu,Município
0013212,2025,2025,,11C1804,Cinfães,1,,SK,Eslováquia,1,,,Cinfães,Viseu,Município
