varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,dim_4,dim_4_t,ind_string,concelho,distrito,nivel_geo
0012918,2025,2025,,1500801,Albufeira,1231,,1,H,11,0 - 4 anos,1 231,Albufeira,Faro,Município
0012918,2025,2025,,1960907,Guarda,1231,,2,M,92,85 e mais anos,1 231,Guarda,Guarda,Município
0012918,2025,2025,,1500810,Olhão,1232,,1,H,21,10 - 14 anos,1 232,Olhão,Faro,Município
0012918,2025,2025,,1910101,Águeda,1232,,2,M,92,85 e mais anos,1 232,Águeda,Aveiro,Município
0012918,2025,2025,,1910118,Vagos,1232,,T,HM,12,5 - 9 anos,1 232,Vagos,Aveiro,Município
0012918,2025,2025,,1920111,Mealhada,1232,,T,HM,51,40 - 44 anos,1 232,Mealhada,Aveiro,Município
0012918,2025,2025,,1910118,Vagos,1233,,T,HM,82,75 - 79 anos,1 233,Vagos,Aveiro,Município
0012918,2025,2025,,1C11509,Santiago do Cacém,1233,,2,M,72,65 - 69 anos,1 233,Santiago do Cacém,Setúbal,Município
0012918,2025,2025,,1111607,Ponte de Lima,1234,,2,M,92,85 e mais anos,1 234,Ponte de Lima,Viana do Castelo,Município
0012918,2025,2025,,1931010,Marinha Grande,1234,,1,H,72,65 - 69 anos,1 234,Marinha Grande,Leiria,Município
0012918,2025,2025,,1C31207,Elvas,1234,,T,HM,42,35 - 39 anos,1 234,Elvas,Portalegre,Município
0012918,2025,2025,,11C1303,Felgueiras,1235,,1,H,21,10 - 14 anos,1 235,Felgueiras,Porto,Município
0012918,2025,2025,,11C1309,Paços de Ferreira,1235,,2,M,21,10 - 14 anos,1 235,Paços de Ferreira,Porto,Município
0012918,2025,2025,,1500810,Olhão,1235,,2,M,22,15 - 19 anos,1 235,Olhão,Faro,Município
0012918,2025,2025,,1920602,Cantanhede,1235,,2,M,81,70 - 74 anos,1 235,Cantanhede,Coimbra,Município
0012918,2025,2025,,1950502,Castelo Branco,1235,,2,M,21,10 - 14 anos,1 235,Castelo Branco,Castelo Branco,Município
0012918,2025,2025,,1500807,Lagos,1236,,2,M,41,30 - 34 anos,1 236,Lagos,Faro,Município
0012918,2025,2025,,1920602,Cantanhede,1236,,1,H,61,50 - 54 anos,1 236,Cantanhede,Coimbra,Município
0012918,2025,2025,,1D31415,Salvaterra de Magos,1236,,T,HM,22,15 - 19 anos,1 236,Salvaterra de Magos,Santarém,Município
0012918,2025,2025,,1920615,Soure,1237,,T,HM,52,45 - 49 anos,1 237,Soure,Coimbra,Município
0012918,2025,2025,,1C40706,Montemor-o-Novo,1237,,T,HM,52,45 - 49 anos,1 237,Montemor-o-Novo,Évora,Município
0012918,2025,2025,,1D21418,Tomar,1237,,2,M,52,45 - 49 anos,1 237,Tomar,Santarém,Município
0012918,2025,2025,,1500813,Silves,1238,,2,M,81,70 - 74 anos,1 238,Silves,Faro,Município
0012918,2025,2025,,1111601,Arcos de Valdevez,1239,,T,HM,91,80 - 84 anos,1 239,Arcos de Valdevez,Viana do Castelo,Município
0012918,2025,2025,,1B01502,Alcochete,1239,,T,HM,31,20 - 24 anos,1 239,Alcochete,Setúbal,Município
0012918,2025,2025,,1D11001,Alcobaça,1239,,2,M,12,5 - 9 anos,1 239,Alcobaça,Leiria,Município
0012918,2025,2025,,1111607,Ponte de Lima,1241,,1,H,32,25 - 29 anos,1 241,Ponte de Lima,Viana do Castelo,Município
0012918,2025,2025,,11A1318,Trofa,1241,,2,M,32,25 - 29 anos,1 241,Trofa,Porto,Município
0012918,2025,2025,,1500814,Tavira,1241,,2,M,72,65 - 69 anos,1 241,Tavira,Faro,Município
0012918,2025,2025,,1950502,Castelo Branco,1241,,1,H,12,5 - 9 anos,1 241,Castelo Branco,Castelo Branco,Município
0012918,2025,2025,,1D21418,Tomar,1241,,1,H,61,50 - 54 anos,1 241,Tomar,Santarém,Município
0012918,2025,2025,,1120301,Amares,1242,,T,HM,72,65 - 69 anos,1 242,Amares,Braga,Município
0012918,2025,2025,,1C20205,Beja,1242,,2,M,62,55 - 59 anos,1 242,Beja,Beja,Município
0012918,2025,2025,,1C40708,Mourão,1242,,2,M,T,Total,1 242,Mourão,Évora,Município
0012918,2025,2025,,1111601,Arcos de Valdevez,1243,,T,HM,51,40 - 44 anos,1 243,Arcos de Valdevez,Viana do Castelo,Município
0012918,2025,2025,,1111604,Monção,1243,,T,HM,71,60 - 64 anos,1 243,Monção,Viana do Castelo,Município
0012918,2025,2025,,1190307,Fafe,1245,,1,H,22,15 - 19 anos,1 245,Fafe,Braga,Município
0012918,2025,2025,,11B1703,Chaves,1245,,1,H,52,45 - 49 anos,1 245,Chaves,Vila Real,Município
0012918,2025,2025,,11D1708,Peso da Régua,1245,,T,HM,71,60 - 64 anos,1 245,Peso da Régua,Vila Real,Município
0012918,2025,2025,,1960907,Guarda,1245,,1,H,51,40 - 44 anos,1 245,Guarda,Guarda,Município
0012918,2025,2025,,1D21401,Abrantes,1246,,1,H,62,55 - 59 anos,1 246,Abrantes,Santarém,Município
0012918,2025,2025,,1500814,Tavira,1247,,1,H,41,30 - 34 anos,1 247,Tavira,Faro,Município
0012918,2025,2025,,1910115,Ovar,1248,,1,H,82,75 - 79 anos,1 248,Ovar,Aveiro,Município
0012918,2025,2025,,1920602,Cantanhede,1248,,2,M,71,60 - 64 anos,1 248,Cantanhede,Coimbra,Município
0012918,2025,2025,,1950502,Castelo Branco,1248,,1,H,21,10 - 14 anos,1 248,Castelo Branco,Castelo Branco,Município
0012918,2025,2025,,1960912,Seia,1248,,T,HM,51,40 - 44 anos,1 248,Seia,Guarda,Município
0012918,2025,2025,,1500814,Tavira,1249,,T,HM,92,85 e mais anos,1 249,Tavira,Faro,Município
0012918,2025,2025,,1931015,Pombal,1249,,2,M,22,15 - 19 anos,1 249,Pombal,Leiria,Município
0012918,2025,2025,,11C1305,Lousada,1250,,2,M,81,70 - 74 anos,1 250,Lousada,Porto,Município
0012918,2025,2025,,11C1311,Penafiel,1250,,1,H,82,75 - 79 anos,1 250,Penafiel,Porto,Município
0012918,2025,2025,,1941806,Mangualde,1250,,T,HM,62,55 - 59 anos,1 250,Mangualde,Viseu,Município
0012918,2025,2025,,1D31414,Rio Maior,1250,,T,HM,81,70 - 74 anos,1 250,Rio Maior,Santarém,Município
0012918,2025,2025,,1910101,Águeda,1251,,1,H,31,20 - 24 anos,1 251,Águeda,Aveiro,Município
0012918,2025,2025,,1910115,Ovar,1251,,2,M,21,10 - 14 anos,1 251,Ovar,Aveiro,Município
0012918,2025,2025,,11B1712,Valpaços,1252,,T,HM,72,65 - 69 anos,1 252,Valpaços,Vila Real,Município
0012918,2025,2025,,1D31414,Rio Maior,1252,,1,H,32,25 - 29 anos,1 252,Rio Maior,Santarém,Município
0012918,2025,2025,,1111602,Caminha,1253,,T,HM,72,65 - 69 anos,1 253,Caminha,Viana do Castelo,Município
0012918,2025,2025,,1910118,Vagos,1253,,T,HM,21,10 - 14 anos,1 253,Vagos,Aveiro,Município
0012918,2025,2025,,1B01508,Palmela,1253,,2,M,92,85 e mais anos,1 253,Palmela,Setúbal,Município
0012918,2025,2025,,1500814,Tavira,1254,,T,HM,21,10 - 14 anos,1 254,Tavira,Faro,Município
0012918,2025,2025,,3003102,Câmara de Lobos,1254,,1,H,52,45 - 49 anos,1 254,Câmara de Lobos,Região Autónoma da Madeira,Município
0012918,2025,2025,,11C1302,Baião,1255,,T,HM,72,65 - 69 anos,1 255,Baião,Porto,Município
0012918,2025,2025,,11C1303,Felgueiras,1256,,1,H,12,5 - 9 anos,1 256,Felgueiras,Porto,Município
0012918,2025,2025,,1910108,Estarreja,1256,,T,HM,21,10 - 14 anos,1 256,Estarreja,Aveiro,Município
0012918,2025,2025,,3003102,Câmara de Lobos,1256,,2,M,71,60 - 64 anos,1 256,Câmara de Lobos,Região Autónoma da Madeira,Município
0012918,2025,2025,,1111607,Ponte de Lima,1257,,1,H,41,30 - 34 anos,1 257,Ponte de Lima,Viana do Castelo,Município
0012918,2025,2025,,1120313,Vila Verde,1257,,1,H,21,10 - 14 anos,1 257,Vila Verde,Braga,Município
0012918,2025,2025,,1920607,Lousã,1257,,T,HM,71,60 - 64 anos,1 257,Lousã,Coimbra,Município
0012918,2025,2025,,3003108,Santa Cruz,1257,,2,M,31,20 - 24 anos,1 257,Santa Cruz,Região Autónoma da Madeira,Município
0012918,2025,2025,,1910114,Oliveira do Bairro,1259,,T,HM,12,5 - 9 anos,1 259,Oliveira do Bairro,Aveiro,Município
0012918,2025,2025,,1920611,Oliveira do Hospital,1259,,T,HM,51,40 - 44 anos,1 259,Oliveira do Hospital,Coimbra,Município
0012918,2025,2025,,1960907,Guarda,1259,,1,H,32,25 - 29 anos,1 259,Guarda,Guarda,Município
0012918,2025,2025,,1A01114,Vila Franca de Xira,1259,,1,H,92,85 e mais anos,1 259,Vila Franca de Xira,Lisboa,Município
0012918,2025,2025,,2004203,Ponta Delgada,1259,,T,HM,92,85 e mais anos,1 259,Ponta Delgada,Região Autónoma dos Açores,Município
0012918,2025,2025,,1920602,Cantanhede,1260,,2,M,92,85 e mais anos,1 260,Cantanhede,Coimbra,Município
0012918,2025,2025,,1920602,Cantanhede,1260,,T,HM,11,0 - 4 anos,1 260,Cantanhede,Coimbra,Município
0012918,2025,2025,,1D31409,Coruche,1260,,T,HM,62,55 - 59 anos,1 260,Coruche,Santarém,Município
0012918,2025,2025,,11C1307,Marco de Canaveses,1261,,1,H,81,70 - 74 anos,1 261,Marco de Canaveses,Porto,Município
0012918,2025,2025,,1500810,Olhão,1261,,1,H,81,70 - 74 anos,1 261,Olhão,Faro,Município
0012918,2025,2025,,1D11101,Alenquer,1261,,1,H,12,5 - 9 anos,1 261,Alenquer,Lisboa,Município
0012918,2025,2025,,1D31414,Rio Maior,1261,,T,HM,22,15 - 19 anos,1 261,Rio Maior,Santarém,Município
0012918,2025,2025,,1120306,Esposende,1262,,1,H,41,30 - 34 anos,1 262,Esposende,Braga,Município
0012918,2025,2025,,1500806,Lagoa,1262,,T,HM,12,5 - 9 anos,1 262,Lagoa,Faro,Município
0012918,2025,2025,,1910110,Ílhavo,1262,,2,M,81,70 - 74 anos,1 262,Ílhavo,Aveiro,Município
0012918,2025,2025,,1D31406,Cartaxo,1262,,T,HM,82,75 - 79 anos,1 262,Cartaxo,Santarém,Município
0012918,2025,2025,,1120306,Esposende,1263,,1,H,62,55 - 59 anos,1 263,Esposende,Braga,Município
0012918,2025,2025,,11D1708,Peso da Régua,1263,,T,HM,72,65 - 69 anos,1 263,Peso da Régua,Vila Real,Município
0012918,2025,2025,,11E0402,Bragança,1263,,1,H,41,30 - 34 anos,1 263,Bragança,Bragança,Município
0012918,2025,2025,,1920615,Soure,1263,,T,HM,81,70 - 74 anos,1 263,Soure,Coimbra,Município
0012918,2025,2025,,1190309,Póvoa de Lanhoso,1264,,T,HM,31,20 - 24 anos,1 264,Póvoa de Lanhoso,Braga,Município
0012918,2025,2025,,1920602,Cantanhede,1264,,1,H,52,45 - 49 anos,1 264,Cantanhede,Coimbra,Município
0012918,2025,2025,,1C31214,Portalegre,1264,,T,HM,42,35 - 39 anos,1 264,Portalegre,Portalegre,Município
