distrito,ano,dim_4_t,valor
Beja,2021,50 - 54 anos,10131
Beja,2021,55 - 59 anos,10429
Beja,2021,60 - 64 anos,10250
Beja,2021,65 - 69 anos,9382
Beja,2021,70 - 74 anos,8512
Beja,2021,75 - 79 anos,7031
Beja,2021,80 - 84 anos,6253
Beja,2021,85 e mais anos,6831
Beja,2021,Total,154671
Beja,2021,0 - 4 anos,5919
Beja,2021,5 - 9 anos,6085
Beja,2021,10 - 14 anos,6497
Beja,2021,15 - 19 anos,6742
Beja,2021,20 - 24 anos,8492
Beja,2021,25 - 29 anos,9999
Beja,2022,30 - 34 anos,11699
Beja,2022,35 - 39 anos,11290
Beja,2022,40 - 44 anos,11470
Beja,2022,45 - 49 anos,11323
Beja,2022,50 - 54 anos,10225
Beja,2022,55 - 59 anos,10485
Beja,2022,60 - 64 anos,10524
Beja,2022,65 - 69 anos,9576
Beja,2022,70 - 74 anos,8633
Beja,2022,75 - 79 anos,7343
Beja,2022,80 - 84 anos,5865
Beja,2022,85 e mais anos,6897
Beja,2022,Total,162405
Beja,2022,0 - 4 anos,6107
Beja,2022,5 - 9 anos,6268
Beja,2022,10 - 14 anos,6702
Beja,2022,15 - 19 anos,7101
Beja,2022,20 - 24 anos,9324
Beja,2022,25 - 29 anos,11573
Beja,2023,30 - 34 anos,13106
Beja,2023,35 - 39 anos,12498
Beja,2023,40 - 44 anos,12050
Beja,2023,45 - 49 anos,11824
Beja,2023,50 - 54 anos,10438
Beja,2023,55 - 59 anos,10463
Beja,2023,60 - 64 anos,10420
Beja,2023,65 - 69 anos,9823
Beja,2023,70 - 74 anos,8735
Beja,2023,75 - 79 anos,7463
Beja,2023,80 - 84 anos,5711
Beja,2023,85 e mais anos,6988
Beja,2023,Total,169241
Beja,2023,0 - 4 anos,6186
Beja,2023,5 - 9 anos,6447
Beja,2023,10 - 14 anos,6766
Beja,2023,15 - 19 anos,7217
Beja,2023,20 - 24 anos,9943
Beja,2023,25 - 29 anos,13163
Beja,2024,30 - 34 anos,13381
Beja,2024,35 - 39 anos,12918
Beja,2024,40 - 44 anos,12287
Beja,2024,45 - 49 anos,12014
Beja,2024,50 - 54 anos,10457
Beja,2024,55 - 59 anos,10396
Beja,2024,60 - 64 anos,10509
Beja,2024,65 - 69 anos,10019
Beja,2024,70 - 74 anos,8775
Beja,2024,75 - 79 anos,7411
Beja,2024,80 - 84 anos,5733
Beja,2024,85 e mais anos,6990
Beja,2024,Total,170691
Beja,2024,0 - 4 anos,6147
Beja,2024,5 - 9 anos,6607
Beja,2024,10 - 14 anos,6807
Beja,2024,15 - 19 anos,7261
Beja,2024,20 - 24 anos,9712
Beja,2024,25 - 29 anos,13267
Beja,2025,30 - 34 anos,13148
Beja,2025,35 - 39 anos,13015
Beja,2025,40 - 44 anos,12206
Beja,2025,45 - 49 anos,12160
Beja,2025,50 - 54 anos,10656
Beja,2025,55 - 59 anos,10420
Beja,2025,60 - 64 anos,10433
Beja,2025,65 - 69 anos,10118
Beja,2025,70 - 74 anos,9096
Beja,2025,75 - 79 anos,7497
Beja,2025,80 - 84 anos,5667
Beja,2025,85 e mais anos,7016
Beja,2025,Total,169810
Beja,2025,0 - 4 anos,6062
Beja,2025,5 - 9 anos,6540
Beja,2025,10 - 14 anos,6715
Beja,2025,15 - 19 anos,7199
Beja,2025,20 - 24 anos,9076
Beja,2025,25 - 29 anos,12786
Braga,2020,30 - 34 anos,47793
Braga,2020,35 - 39 anos,55495
Braga,2020,40 - 44 anos,64582
Braga,2020,45 - 49 anos,68561
Braga,2020,50 - 54 anos,65541
Braga,2020,55 - 59 anos,64608
Braga,2020,60 - 64 anos,58029
Braga,2020,65 - 69 anos,51496
Braga,2020,70 - 74 anos,41684
Braga,2020,75 - 79 anos,29710
Braga,2020,80 - 84 anos,23257
Braga,2020,85 e mais anos,22069
Braga,2020,Total,849547
Braga,2020,0 - 4 anos,35705
Braga,2020,5 - 9 anos,35442
Braga,2020,10 - 14 anos,41110
Braga,2020,15 - 19 anos,46067
Braga,2020,20 - 24 anos,50512
Braga,2020,25 - 29 anos,47886
Braga,2021,30 - 34 anos,49242
Braga,2021,35 - 39 anos,54651
Braga,2021,40 - 44 anos,63114
Braga,2021,45 - 49 anos,67991
Braga,2021,50 - 54 anos,64324
Braga,2021,55 - 59 anos,62815
Braga,2021,60 - 64 anos,57200
Braga,2021,65 - 69 anos,51799
Braga,2021,70 - 74 anos,43332
Braga,2021,75 - 79 anos,31334
Braga,2021,80 - 84 anos,23009
Braga,2021,85 e mais anos,23253
Braga,2021,Total,846556
Braga,2021,0 - 4 anos,34002
Braga,2021,5 - 9 anos,35591
Braga,2021,10 - 14 anos,40667
Braga,2021,15 - 19 anos,45073
Braga,2021,20 - 24 anos,50163
Braga,2021,25 - 29 anos,48996
Braga,2022,30 - 34 anos,52026
Braga,2022,35 - 39 anos,55401
Braga,2022,40 - 44 anos,63530
Braga,2022,45 - 49 anos,69010
Braga,2022,50 - 54 anos,65835
Braga,2022,55 - 59 anos,63526
Braga,2022,60 - 64 anos,58530
Braga,2022,65 - 69 anos,53016
Braga,2022,70 - 74 anos,45516
Braga,2022,75 - 79 anos,32938
Braga,2022,80 - 84 anos,23031
Braga,2022,85 e mais anos,23999
Braga,2022,Total,868305
Braga,2022,0 - 4 anos,34594
Braga,2022,5 - 9 anos,37261
Braga,2022,10 - 14 anos,41489
Braga,2022,15 - 19 anos,45259
Braga,2022,20 - 24 anos,51438
Braga,2022,25 - 29 anos,51906
Braga,2023,30 - 34 anos,54214
Braga,2023,35 - 39 anos,56391
Braga,2023,40 - 44 anos,63590
Braga,2023,45 - 49 anos,69690
Braga,2023,50 - 54 anos,67157
Braga,2023,55 - 59 anos,64224
Braga,2023,60 - 64 anos,59886
Braga,2023,65 - 69 anos,54644
Braga,2023,70 - 74 anos,46287
